Game_id,Period,PC_Time,Event_Type,Person_id,Team_id,Status,Score,Active_player
021fd159b55773fba8157e2090fe0fe2,1,7200,Start period,,012059d397c0b7e5a30a5bb89c0b075e,,0,"['89706b99ddd00dc05d37ef5cafc04276', 'a99f44bbff39e352191a870e17f04537', 'cec898a1d355dbfbad8c760615fde1af', '881f83d2dee3f18c7d1751659406144e', '2b313e2bcef0268bc8e9415132ba9997']"
021fd159b55773fba8157e2090fe0fe2,2,7200,Start period,,012059d397c0b7e5a30a5bb89c0b075e,,0,"['89706b99ddd00dc05d37ef5cafc04276', '2d9594e4d250679e7a3383ad5ccd2f44', 'a99f44bbff39e352191a870e17f04537', 'b2fada91a0c8a0f400623c425286ae2e', 'd6bc5eb6ed54c734628cb4d237f99031']"
021fd159b55773fba8157e2090fe0fe2,3,7200,Start period,,012059d397c0b7e5a30a5bb89c0b075e,,0,"['89706b99ddd00dc05d37ef5cafc04276', 'a99f44bbff39e352191a870e17f04537', 'cec898a1d355dbfbad8c760615fde1af', '881f83d2dee3f18c7d1751659406144e', '2b313e2bcef0268bc8e9415132ba9997']"
021fd159b55773fba8157e2090fe0fe2,4,7200,Start period,,012059d397c0b7e5a30a5bb89c0b075e,,0,"['89706b99ddd00dc05d37ef5cafc04276', 'a99f44bbff39e352191a870e17f04537', '881f83d2dee3f18c7d1751659406144e', '1362d9ad805e7cc4ea3a9467c91142d6', 'b2fada91a0c8a0f400623c425286ae2e']"
021fd159b55773fba8157e2090fe0fe2,1,7200,Start period,,cff694c8186a4bd377de400e4f60fe47,,0,"['307beab25b1021a548b4a47550bc4b25', '57bbd7e30bc694aeee9ee40c583e6811', '27ea17a8685c4919f157e83fe9cb2d9e', 'c00264c3114d23bac482e9de50fb7d28', '33963fe856a1523ff46438ba07d1d99f']"
021fd159b55773fba8157e2090fe0fe2,2,7200,Start period,,cff694c8186a4bd377de400e4f60fe47,,0,"['c1fe6ed491d04e3cdf50755dff23b263', '60b5f9f68ccbbf7ba3fa13a2189e2775', '603daefb2fa321f3abab289805fdcc25', '8bb18fb1d0cc10c985afa823ecec6d18', '33963fe856a1523ff46438ba07d1d99f']"
021fd159b55773fba8157e2090fe0fe2,3,7200,Start period,,cff694c8186a4bd377de400e4f60fe47,,0,"['307beab25b1021a548b4a47550bc4b25', '57bbd7e30bc694aeee9ee40c583e6811', '27ea17a8685c4919f157e83fe9cb2d9e', 'c00264c3114d23bac482e9de50fb7d28', '33963fe856a1523ff46438ba07d1d99f']"
021fd159b55773fba8157e2090fe0fe2,4,7200,Start period,,cff694c8186a4bd377de400e4f60fe47,,0,"['c1fe6ed491d04e3cdf50755dff23b263', '60b5f9f68ccbbf7ba3fa13a2189e2775', '603daefb2fa321f3abab289805fdcc25', '8bb18fb1d0cc10c985afa823ecec6d18', '33963fe856a1523ff46438ba07d1d99f']"
03a31e84b194d6c8a2eab5d70ba67acf,1,7200,Start period,,5df2526720f9ac092e202de922f5a65f,,0,"['387d067091bd3a9264576ddb74759f5f', 'f5f1164263044fc2ee91242daa221045', '17651fd844ca9177694e0fe8e13ade03', '2b8bdfc64f41d1adefabcf7e0667a618', '5fe2b12999c5b4a17dba17cb76b0cfbc']"
03a31e84b194d6c8a2eab5d70ba67acf,2,7200,Start period,,5df2526720f9ac092e202de922f5a65f,,0,"['257b19b06545dcb0a4eb3a01d7952eed', 'e688b1a601a44fb2ac79c58bf6c89e8b', '43a74f78a8e39c7fb0ad193fb24f52ba', '5fe2b12999c5b4a17dba17cb76b0cfbc', 'e6d3fc584789b9b914791ec969a8d5a4']"
